股票代號,淨有形資產收益率(Q1),本業資金占總資產比率,長期債務比率,營收年增率(當月),營業利益率,股東權益報酬率(Q1),淨有形資產收益率(Q2),要求報酬率(Q1),內在價值,內在價值(Q2),季度數量,內在價值(Q3),四季盈餘,毛利率,年化營收
3011,-0.1109218823905886,0.7662786646673218,0.3202823223402398,-0.4030321072273935,-0.5636253645008462,-0.1560022534775623,-0.0595023719471241,0.1677304705976471,-2014633.9997303216,-1586918.5513742012,33,-637613.8182321918,-314507.0,0.0235523623733168,615723.0
3013,0.0212793754686267,0.9185546675244268,0.0715724117834479,0.0171020969405293,0.1333186299345721,0.0422167715148365,0.0361247308789841,0.1346801561328433,1510695.292321315,2614179.516779123,33,3953062.314264398,936043.0,0.2115326313029442,11450290.0
3014,0.4142943860996118,0.3016137940679589,0.0131861082368965,-0.08244083373146,0.2873760417796006,0.2045933434736593,0.5256833048535283,0.08,17499024.51233796,24883645.75986811,33,26737936.32075598,1534537.0,0.572127594789545,6877763.0
3015,0.0345164934716194,0.5030976040483729,0.0329830741278399,-0.0979397127250657,0.0087398883262033,0.0214574755418772,0.0635072402317083,0.1313708766320951,10918064.119337777,14198374.41080805,33,15393862.980411127,380261.0,0.1797745835220232,12795509.0
3016,0.0078805098461357,0.6252417942472052,0.134691677807839,0.3728272841209758,0.1059780940770531,0.0081212817444181,0.047966424644124,0.138029872538466,1944837.84470226,3494067.5127538173,33,4793703.090379124,118238.0,0.1777431743474635,4276955.0
3017,0.0645457071158759,0.6029090650527469,0.0680667522596574,0.6064003400775296,0.2450965217833552,0.1760028875417414,0.093911292943542,0.123863573221031,110193851.5249969,147340049.31428692,33,178883865.15734482,23888368.0,0.2976756204266794,177858936.0
3018,-0.194246753837433,0.7864998388822939,0.006123307637981,-0.3848291542979853,-0.5692671627815288,-1.2788072807114506,-0.1335113503726331,0.1885616884593582,-587085.6548501003,-284878.399556475,33,-72925.52439737256,-201452.0,-0.0258488985264402,328507.0
3019,0.0789541117610529,0.5389961854334177,0.0123305638534858,0.1624280570440305,0.0776329415023569,0.0590013631065208,0.0964134453906172,0.1202614720597368,20481328.42164906,22181433.01539649,33,26428280.86419919,1916858.0,0.1729639847261612,28026413.0
3021,0.052715275950382,0.6712783005000861,0.0426929996508372,-0.0985237449313323,0.0459352712187082,0.0806157026771508,0.0616541004050445,0.1268211810124045,2089917.187803792,2229551.786631281,33,2428234.8228272726,54911.0,0.1942090756684568,3353827.0
3022,0.102619802679572,0.7324951068304835,0.0686844451149823,0.9240084791086112,0.0228793346203168,0.1038592298147223,0.1245936305693708,0.114345049330107,12590234.911083542,14332077.191733727,33,18351002.695210166,622725.0,0.2814851471469284,6730645.0
3023,0.1222561598090948,0.7717728565856613,0.0303970398717892,0.1752590157304651,0.1152705503230619,0.2258986797675002,0.135396596714386,0.1094359600477263,37267561.07331809,38018309.72407773,33,41582871.14838175,3065620.0,0.2450820816709551,32272223.0
3024,0.0219841385269978,0.7368538240825774,0.0217886335350029,-0.5756509236863585,0.0147387053074089,0.0250355747214477,0.0282118658578064,0.1345039653682505,1567522.0769387805,1839117.2466642065,33,2399283.4147038027,25810.0,0.2574906548767375,1096561.0
3025,0.0570811754521279,0.6975635619182375,0.0340753315545854,1.3458787189074948,0.2087618247473482,0.0562727970709084,0.1102520606663967,0.125729706136968,659363.082849687,945929.5294345786,33,1490172.311600726,226705.0,0.6633652968405406,763203.0
3026,0.0884861086195072,0.6569051063711802,0.0333066252928729,0.2134372233510076,0.1335820216993404,0.0983250558117989,0.1009234678535733,0.1178784728451231,12413993.75795862,13690289.472268475,33,18256816.34696468,1287785.0,0.2423796812503471,14106320.0
3027,-0.0051399014404599,0.6204228572258069,0.0332833623767524,-0.0836593254273833,-0.0239404704971419,-0.0071600120438827,0.0240933613986885,0.141284975360115,968872.3063691058,1337256.9715511391,33,1645161.2510475875,-151306.0,0.2356584910386919,1452993.0
3028,0.0243734914631615,0.8774448316015411,0.0076358246154972,1.0254268456763282,0.0539572317589725,0.0756241508404614,0.0288721155486868,0.1339066271342096,6888426.429463036,7819503.897449858,33,9580729.88838941,1211768.0,0.0909580547568685,57028617.0
3029,0.1141214601384107,0.6503292339461677,0.0632609002344654,0.2740717915438546,0.0560528537555522,0.1510818121022254,0.1178554386231928,0.1114696349653973,15666577.909432992,18460040.45416097,33,21902449.320942037,1132042.0,0.1179855045952137,25804175.0
3030,0.1801439973648556,0.8413708001588928,0.0246459829120886,0.1474530084151397,0.3816123027015071,0.1831615404050871,0.1942138707282437,0.0949640006587861,21108196.448095385,23816026.84050676,33,26681056.475590985,2727338.0,0.6027463581570524,9533740.0
3031,0.0857379843731527,0.5081996647149536,0.0267958854458483,0.3223035811509017,0.0623990073363174,0.0581439888679544,0.0944110356703771,0.1185655039067118,3213787.578134417,3386782.328589053,33,3663559.08819324,193454.0,0.2621270062707462,1221552.0
3032,0.049692459610502,0.4880324393064305,0.4716270736453021,0.1272049897337776,0.1014571035547229,0.0796338555141509,0.0637444418307558,0.1275768850973745,-1406711.8128493428,35681.43038104661,33,1924666.5452813243,-957346.0,0.2316435291553261,11540005.0
3033,0.0213193493518425,0.9180889354463474,0.0685152561987692,0.2780869711746564,0.0340883581406585,0.0834242383072348,0.0285512286300328,0.1346701626620393,5663237.6959371455,7271296.274728468,33,9899352.15623449,1269213.0,0.0618172219803396,117811836.0
3034,0.3308100187074932,0.4542751351223759,0.0959627751982526,0.0935421722188871,0.1740113750077067,0.2643898389586983,0.4322322050348013,0.08,319311018.0773639,433576128.07115,33,548445026.1540165,14851000.0,0.390571728527382,97598948.0
