stockId,product,manager,asset,finance,investment,speculation,main,mainInvestment,mainSpeculation,total
1734.0,5,0,0,2,6,6,12,13,13,19
1735.0,2,2,2,4,5,9,14,15,19,24
1736.0,0,3,2,2,4,10,14,11,17,21
1737.0,7,4,6,6,7,6,13,30,29,36
1742.0,4,0,0,8,0,3,3,12,15,15
1752.0,8,6,6,8,9,5,14,37,33,42
1760.0,5,4,4,6,0,3,3,19,22,22
1762.0,8,8,7,3,9,6,15,35,32,41
1773.0,9,10,9,2,6,4,10,36,34,40
1776.0,0,1,2,4,2,9,11,9,16,18
1777.0,10,8,8,8,8,4,12,42,38,46
1781.0,0,0,0,7,0,8,8,7,15,15
1783.0,10,5,6,10,6,2,8,37,33,39
1784.0,6,1,2,4,4,5,9,17,18,22
1785.0,4,7,5,2,6,8,14,24,26,32
1786.0,10,6,7,3,4,2,6,30,28,32
1787.0,6,7,6,3,1,1,2,23,23,24
1788.0,6,9,7,5,7,7,14,34,34,41
1789.0,4,2,4,7,2,2,4,19,19,21
1795.0,10,6,7,1,7,3,10,31,27,34
1796.0,9,0,0,5,6,4,10,20,18,24
1799.0,0,0,0,1,0,1,1,1,2,2
1802.0,0,0,0,6,0,8,8,6,14,14
1805.0,0,0,0,6,0,2,2,6,8,8
1806.0,4,0,0,7,0,7,7,11,18,18
1808.0,10,6,3,4,10,7,17,33,30,40
1809.0,0,0,0,6,0,8,8,6,14,14
1810.0,0,1,1,6,0,8,8,8,16,16
1813.0,0,0,0,9,0,4,4,9,13,13
1815.0,0,0,0,1,0,5,5,1,6,6
1817.0,6,8,8,5,9,8,17,36,35,44
1902.0,2,3,4,4,1,1,2,14,14,15
1903.0,0,0,0,2,2,1,3,4,3,5
1904.0,3,6,4,1,3,9,12,17,23,26
1905.0,0,0,0,6,0,8,8,6,14,14
1906.0,0,2,5,7,2,9,11,16,23,25
1907.0,0,3,3,3,3,10,13,12,19,22
1909.0,0,1,1,1,0,10,10,3,13,13
2002.0,1,1,1,2,0,8,8,5,13,13
2006.0,6,5,4,8,9,9,18,32,32,41
2007.0,0,0,0,1,0,8,8,1,9,9
2008.0,4,0,0,1,10,4,14,15,9,19
2009.0,0,1,1,8,2,3,5,12,13,15
