stockId,ReturnOfNetTangibleAssets_FirstQuartile,ONWR,LongDebtRatio,YoY,OperatingProfitMargin,ReturnOfEquity_FirstQuartile,ReturnOfNetTangibleAssets_Median,ReturnOfRequest,IntrinsicValue_FirstQuartile,IntrinsicValue_Median,QuarterLength,IntrinsicValue_ThirdQuartile,Profit_4,GrossProfitRatio,revenue12,price,name,share,IntrinsicValuePerShare_FirstQuartile,IntrinsicValuePerShare_Median,IntrinsicValuePerShare_ThirdQuartile,AnnualizedReturn,SalesToPrice
1338,0.0308588176888528,0.7864812732116163,0.0939888927014902,0.1688109945538945,0.0077658838023909,0.0362626632382547,0.0393270905166197,0.1322852955777868,3557774.1802303884,4185133.110922236,23,5193270.940794431,-151711.0,0.222465701515068,6983691.0,39.3,廣華-KY,83840000,42.43528363824414,49.91809531157247,61.94264003810151,-0.046044021813025665,2.119537942136239
1339,0.0321472878698864,0.8313471199250929,0.1067617295824406,0.5271204898347746,0.1697091093904152,0.0369199687795762,0.0701756383183531,0.1319631780325284,1414335.0944656688,2816753.3615463823,23,3137056.11236456,321821.0,0.3114957763228264,2001642.0,60.2,昭輝,74123875,19.080695585135945,38.00062208763887,42.32180403904356,0.07212067349926614,0.44857162566898384
1340,-0.1997882684678986,0.7319371229661419,0.0263680136295687,1.452155986943824,-0.7246593642723013,-0.089486941312809,-0.1772985370342943,0.1899470671169746,-2566293.908529756,-2043764.8914208184,23,-1422048.2105752989,-398606.0,-0.3827419085025222,492753.0,10.8,勝悅-KY,152922855,-16.7816243590911,-13.364679147671016,-9.29912151179298,-0.24135020865888857,0.2983548651231876
1341,0.1303320835457243,0.8515869317740564,0.0211691925362306,0.5048179275864372,0.1203672372293764,0.2224936459150101,0.1381851321509171,0.1074169791135689,2368469.759184401,2642972.4380103573,21,2900269.2815380227,248890.0,0.2150485116634425,3025875.0,62.0,富林-KY,51677191,45.83201434428588,51.14388740692886,56.12281212301231,0.07768136698276959,0.9444096039173446
1342,0.1734391547576576,0.8303726111104199,0.1360838080728526,-0.2982395245078156,0.233112024062798,0.2353736552352981,0.2044143870194914,0.0966402113105856,5024761.836167268,5742558.207716309,12,5897110.734578979,539389.0,0.3158231761635767,2570000.0,116.5,八貫,71329567,70.44430588184096,80.50740316026746,82.67414177039628,0.0649092472109648,0.3092698689298068
1402,0.0179495864707169,0.8295226212150294,0.3210287967125755,0.2182445675046684,0.057306771162458,0.0325777931283101,0.0195720898130285,0.1355126033823207,-105778290.0519406,-99301603.33847864,23,-92783254.40253788,5744082.0,0.1838134683745163,266561527.0,30.65,遠東新,5352875227,-19.761022920615257,-18.55107752887636,-17.333348988696294,0.03501088040366806,1.6247250199450727
1409,0.0181998865613795,0.77597276442185,0.1198699971327057,0.3178218637434522,0.0,0.0523863731011031,0.0225126428607518,0.1354500283596551,39762121.95126051,45664625.09531766,23,49242485.38092111,689000.0,0.0,45504805.0,15.0,新纖,1618409286,24.56864422073052,28.215745850161703,30.426472343486733,0.028381778163705698,1.8744663002796604
1410,0.0723368882109506,0.5805366632241105,0.1285821049666698,0.1341345573136852,-0.1064320651519167,0.0517507485520754,0.079424859228087,0.1219157779472623,866216.1230071347,913332.108166482,23,1018560.414011687,37554.0,0.2510601643254704,393421.0,37.1,南染,63000000,13.749462269954519,14.497335050261619,16.167625619233128,0.016067257091515852,0.16832285115303983
1413,-0.034791622676158,0.9792965915192136,0.323359431388861,0.8527654700066024,-0.0774854496725185,-0.0761279856878458,0.0230475655443569,0.1486979056690395,-1349300.5209929869,-347761.7706167192,23,266222.77848192723,-115646.0,-0.0472505552257412,3092880.0,9.2,宏洲,132112454,-10.213272709270747,-2.6323163342096363,2.0151224992151553,-0.09514786086181057,2.544670078535156
1414,0.0086610134527952,0.8358381985949482,0.1493861467846182,0.3305010088379891,-0.0880946567129503,0.0109290049968039,0.0168544397772827,0.1378347466368012,312862.0087897424,543431.5945960004,23,889061.3325986313,15172.0,0.0497227483826001,677785.0,17.8,東和,220000000,1.4221000399533745,2.470143611800002,4.041187875448324,0.003874361593462717,0.17308094994892748
1416,-0.0207625751406866,0.2150462771902194,0.1643327674629749,0.661842608268254,-0.0631271966606047,-0.0370984417214094,0.032674195359784,0.1451906437851716,2612105.453400267,2765887.285854956,23,3102295.1146220965,109935.0,0.3486577402546006,260376.0,11.6,廣豐,185342168,14.093422352760363,14.923140889638002,16.73820452247055,0.05113329187135544,0.12110685408919855
1417,-0.0608109181961999,0.4857871669731366,0.0931420366709116,-0.1420975072793125,-0.0610413580056742,-0.0419378946893915,0.0025101331580478,0.1552027295490499,918210.9042878728,1700069.1728179494,23,2217943.596380658,60895.0,0.3268328978237591,1476241.0,12.0,嘉裕,189941840,4.834168734428775,8.950472275186707,11.676961728814769,0.026716511398085507,0.6476723787309491
1418,-0.1083340166480271,0.7986800732265318,0.1143210623432255,-0.9213451917732074,-3.0128257927869626,-0.9150880275281632,-0.0955830443564671,0.1670835041620068,-2087678.2672758363,-1836395.8316727327,23,104829.37388625625,28899.0,0.2392186856504089,19286.0,28.75,東華,56834309,-36.73271135003746,-32.31139542266156,1.8444734480057856,0.017686193892067062,0.011803035932122407
1419,0.0505004940247474,0.5177126563772396,0.0752405703617451,-0.0080639365778196,0.0944921894628073,0.0425446682950949,0.0580631662460761,0.1273748764938131,10440795.588843826,10968767.88670687,23,12759589.771758877,647160.0,0.2889784952008991,3351114.0,44.85,新紡,300041280,34.797863776757076,36.55752930632368,42.526114312533515,0.048091487405090026,0.24902660350457514
1423,0.0082359905848398,0.3203901436774082,0.0679250444535631,0.4634059687351965,-0.6812051492741714,0.0029968057500752,0.0506055389765842,0.13794100235379,2161559.155461595,2505351.4525208105,23,2769693.0964183905,94706.0,-0.3997151465351958,169331.0,30.8,利華,99648000,21.691947208790893,25.142014415952257,27.79476854947807,0.03085731906179883,0.05517180214615186
1432,-0.0713883112912466,0.816473612672415,0.5433891038959302,-0.1732865636338769,0.0912371829798051,-0.2175036490820836,-0.0333834168950312,0.1578470778228116,-3956342.360338408,-2754294.961177903,23,-2057547.9529715287,64089.0,0.4369959771774032,1127353.0,21.2,大魯閣,90000000,-43.959359559315644,-30.603277346421148,-22.861643921905877,0.033589622641509435,0.5908558700209644
